Ay,Yil,Atasehir Hali Binek,Atasehir Hali Jeep Minibus Kamyonet,Atasehir Hali Kamyon Otobus,Atasehir Hali Kamyonet,Atasehir Hali Tir 
1,2021,13447,38287,11677,101,2352
2,2021,12347,35875,10709,85,2058
3,2021,15315,43803,12784,127,2279
4,2021,15602,42436,11855,123,2075
5,2021,15070,44845,11452,108,2486
6,2021,16787,52411,15276,221,2641
7,2021,14282,45343,13538,393,1940
8,2021,15799,51516,16385,445,2025
9,2021,16167,51648,17080,328,2197
10,2021,14065,46608,14412,308,2265
11,2021,6481,35225,10944,507,2257
12,2021,6611,35314,10719,431,2506
1,2022,5718,29783,8874,405,2300
2,2022,6166,28708,8185,440,2240
3,2022,6272,29876,8414,454,2222
4,2022,6667,31305,8998,466,2171
5,2022,6887,32813,9781,475,2471
6,2022,7773,36777,11758,1059,2427
7,2022,6646,32252,10732,1171,1685
8,2022,8170,37464,13101,1478,1942
9,2022,8021,36635,13882,1439,2215
10,2022,6483,32458,11599,1378,2466
11,2022,6115,30257,11163,1408,2480
12,2022,6292,30659,11452,1259,2770
1,2023,5554,28556,10158,1087,2753
2,2023,4852,24368,8271,909,2258
